material_id,formation_energy_per_atom,pretty_formula
mp-1198857,-2.284944614,Rb4V2S4O19
mp-510753,-0.565311634,NiO2
mp-18971,-1.191880538,Mn(PtO2)3
mp-1179147,-1.646791538,VH10SO10
mp-27601,-1.830215588,K2Cr3O10
mp-17404,-3.665594366,Y2Si2O7
mp-1197574,-2.766950181,Ba3NaMn4Si6O22F
mp-557210,-1.174940754,Cu3NiH6(ClO3)2
mp-733650,-1.255259301,CuH6(SeO4)2
mp-557939,-2.484725325,La4Ni3O8
mp-1193249,-2.232447485,Na5Cu3(PO4)4
mp-1195688,-2.915302128,Ba3Zn2B3O9F
mp-1200390,-0.375132832,Zn3Si14H90(C15O2)2
mp-18713,-1.806528155,Ba2Li(CuO2)3
mp-1195490,-1.112258364,NiH32C4S2(NO8)2
mp-757398,-1.686706563,NaMnP2H10NO10
mp-1191756,-2.170320412,FeSiO4
mp-29100,-1.525817549,Fe2Se2O7
mp-18717,-2.885087014,SrVO3
mp-19360,-2.798222592,LuCrO4
mp-17619,-2.817162067,Sc2Mn2O7
mp-651075,-1.983429994,Nb2Ni4O9
mp-772957,-2.606108687,SrV4O10
mp-31756,-2.543224716,Ba2FeReO6
mp-650943,-1.415128028,MnTeC5O6F5
mp-542397,-2.659433865,LuMn2O5
mp-22173,-1.930643957,LiFe(GeO3)2
mp-7911,-1.229895062,KCuO
mp-19290,-1.913599718,Mn2As2O7
mp-1198112,-1.876027877,NbP(Cl3O)2
mp-1204704,-2.46718426,Na3VP3NO9
mp-19347,-2.717613888,CaV3O7
mp-1105438,-1.151888655,Zn2As2PbO10
mp-1199199,-2.024722372,Rb3FeMo4O15
mp-744534,-1.010763391,VH8N2O5F
mp-20334,-1.003282046,CoCu2O3
mp-4198,-1.420704158,Ag3PO4
mp-15739,-2.144612982,BaZn2(AsO4)2
mp-22684,-1.367810702,Fe2NiO4
mp-20343,-1.096359661,NaAuO2
mp-22408,-1.410028377,CoO
mp-27742,-1.432175023,K2CdO2
mp-504549,-2.953726716,UFeO4
mp-558859,-1.989939432,VCdBiO5
mp-1190518,-3.279050319,Ta3Al4O14
mp-540937,-2.406982548,Na5La(WO4)4
mp-560520,-0.426297132,Fe3TeC9SO9
mp-19009,-1.037390508,NiO
mp-559180,-2.745333115,Ba2Cu(BO3)2
mp-1194612,-2.533236042,YNb(TeO4)2
mp-4710,-1.673833265,Hg3(BO3)2
mp-1196872,-2.493066846,Ba6Y2Co4O15
mp-734377,-2.002724229,KCdP3H8O13
mp-558570,-1.76964407,Na3FeO3
mp-1195222,-2.065887363,NbIn(TeO4)2
mp-1104323,-2.448783299,VPO5
mp-562833,-1.278528581,Co5Se4(BrO6)2
mp-604996,-1.006865532,CuH12N2(Cl2O)2
mp-6309,-1.545325528,La3Cu4(P2O)2
mp-766204,-0.962259651,ZnPH5C2N4O3
mp-558781,-3.663437478,ScTaO4
mp-1202294,-2.066650152,NiP2H2O7
mp-23999,-1.758668707,MnH2SO4
mp-1095626,-1.882786275,La2P2AuO
mp-505405,-2.037299991,TiMnH12(OF)6
mp-1194787,-2.4989105,Cd2B6PbO12
mp-31230,-1.576435699,Tl2Cr2O7
mp-562762,-2.11697978,Ba2CoSe2(ClO3)2
mp-19980,-2.352794328,LaFeGe2O7
mp-541580,-2.57862068,Ba5Yb8Ni4O21
mp-19793,-2.520724402,YbFeO3
mp-21083,-2.755630705,BaYb2CoO5
mp-541190,-2.374248297,Cs2LiVO4
mp-645272,-1.872239859,TlV3(SeO6)2
mp-1204346,-0.451316807,Fe2S2O17
mp-1179064,-2.484912662,TiOF5
mp-555924,-3.284446448,Ca5Nb5O17
mp-1198801,-0.95612461,MnH11C5NO6
mp-12193,-3.740785918,Nd2Ti2O7
mp-24100,-0.848000807,KCrH18N6(ClO2)4
mp-22186,-1.762729336,In6Ge2PtO9
mp-557853,-1.527949945,TiH8C4NO10
mp-28200,-3.146544089,LaNb7O19
mp-28254,-1.575118064,LiRuO2
mp-1181024,-0.054451603,HgSeNO3
mp-542153,-1.751458889,Co3BO5
mp-558289,-1.782018217,UAg2(SeO4)2
mp-558202,-1.174295035,Fe2Cu3(SeO3)6
mp-560076,-2.922795898,Nd2W2O9
mp-31488,-2.724732106,Li3NbO4
mp-561221,-1.792740425,TlCr3O8
mp-18846,-1.540951002,Na4(CoO2)7
mp-1019525,-3.026307973,Ba3ZnB5PO14
mp-15865,-2.848291426,RbScAsO4F
mp-6653,-3.489138453,Ba2ErNbO6
mp-1076932,-2.522487599,BaTiO3
mp-27884,0.713138631,Ti3Fe3O
mp-687090,-2.590728969,Hf(MoO4)2
mp-707138,-1.603389861,Ag2PHO4
mp-1096876,-0.405354798,CdO2
mp-10498,-2.869497329,Pr2CuO4
mp-645796,-1.93473442,TlFe(MoO4)2
mp-31132,-1.539497988,Hg4OF6
mp-1095395,-2.806213269,EuVO4
mp-560297,-3.205524813,LiTaSiO5
mp-545525,-2.408948288,NbCuO3F
mp-1198345,-2.449139426,Fe5(SiO4)3
mp-699251,-1.629091659,VH10SO10
mp-554324,-3.1800803,LiCa9Mn(PO4)7
mp-942700,-2.133539236,LiNiSO4F
mp-505219,-2.456880875,Rb2V4O9
mp-704915,-2.603325192,Na2Ni2(B4O7)3
mp-1193881,-0.840464097,KZnBr3O2
mp-14825,-2.078905259,Sr2ErCu3(PbO4)2
mp-554812,-2.032562399,CuB2(PbO3)2
mp-18296,-3.258826426,Ba5Dy8Zn4O21
mp-1200213,0.363003586,PdRh(NO)10
mp-558580,-2.719095638,Na2Zn(SiO3)2
mp-555373,-1.749959771,VP2Cl7O4
mp-19504,-2.307845348,BaV2(CoO4)2
mp-16803,-2.517409661,CaCo3(P2O7)2
mp-573180,-2.584774499,LaCoO3
mp-18885,-2.307466454,LaCrS2O
mp-1182987,-0.221530996,Ag(NO2)3
mp-697913,-2.320813969,HfP2(H3O5)2
mp-1197942,-2.764491105,Sr5Cr3O12F
mp-5957,-3.359140859,EuTaO4
mp-12540,-3.029549362,Zr2Mo(PO6)2
mp-1198660,-2.714149385,Y2(MoO4)3
mp-559150,-2.709331955,Na9ZrP4ClO16
mp-581206,-2.800524608,Ba5Eu8Zn4O21
mp-1190442,-1.779953779,FeSeO3F
mp-558610,-2.529806098,Sc(ReO3)2
mp-22112,-2.602443747,Ba2CoWO6
mp-558288,-2.2862834,CdAs2S2(OF3)4
mp-1190173,-1.325143922,CuPb3(ClO2)2
mp-558292,-2.148214427,Mn5Pb(SO4)6
mp-4643,-2.53670373,Nb2CuO6
mp-1203882,0.616339003,IrN4Cl3O
mp-560456,-1.183293212,Hg2Te2O7
mp-540636,-2.681511666,WOF4
mp-630511,-2.684950592,Ca2FeClO3
mp-558486,-1.282282337,Fe2Cu3(SeO3)6
mp-24500,-1.381623667,ZnH12SeO10
mp-553965,-3.214421209,RbLaNb2O7
mp-26980,-2.452153739,MnPO4
mp-1178760,-1.48160105,W2O7
mp-1203682,-0.974693596,Cr2FeNO8
mp-28649,-3.255547336,NaTi8O13
mp-19369,-3.103277875,Ti2CrO5
mp-695985,-1.383392532,NiH12SO10
mp-1192804,-1.814972305,KFeS2O9
mp-553883,-2.903510717,Ba3WCl2O5
mp-557792,-1.840588745,HfSCl6O
mp-541741,-1.97546574,Mn2Sb2O7
mp-1102017,-0.716523903,CdBrO
mp-1200936,-0.737284476,ErCoH8C6(N3O2)2
mp-6595,-2.231906068,Sr3CuPtO6
mp-1197762,-2.459138862,Na2Y3Te4(ClO4)3
mp-696290,-0.258933347,CuH8C4N8(ClO)2
mp-555027,-1.796497221,CdGe(BiO3)2
mp-1191317,-2.543245446,Sr2CoGe2O7
mp-555949,-1.172436029,KEuPdO3
mp-1101924,-0.103739745,NiSO9
mp-18269,-2.679691384,FeSiO3
mp-553912,-2.516396979,NaZr2(AsO4)3
mp-560123,-1.78300637,FeBi3(MoO6)2
mp-556213,-2.333655094,KMnVO4
mp-19364,-3.116228223,BaDy2CoO5
mp-559070,-2.472660098,Li2Hg(PO3)4
mp-560149,-1.720153607,SrFe2(SeO3)4
mp-6414,-3.203139111,Ca3Cr2(SiO4)3
mp-1204718,-1.942175315,Mn2O3
mp-505253,-2.985921752,U2V2O11
mp-12355,-3.601946028,Sr2YTaO6
mp-19461,-2.397753064,Na5Nd(WO4)4
mp-1181119,-0.71763415,Hg2ClO
mp-565234,-2.294762515,BaP4(W2O7)8
mp-1202581,-1.621730886,Cs2CrH8Cl5O4
mp-1197015,-1.864761208,CdP2(H4O5)2
mp-1202499,-1.635275559,BaZnRu5O11
mp-19125,-1.125192023,Na4W(NO)2
mp-1203158,-1.630621651,K2Cu(SO5)2
mp-540575,-0.879298389,ZnHg2H14C4N6O13
mp-1202889,-1.717618684,NaZnPH2(CO3)2
mp-562378,-1.670224262,SrCo2Te3(ClO4)2
mp-19293,-2.956343731,Sr2FeO3F
